Name	Value
Status	ok
Ev (Illuminance - Photopic) / lx	1.004E+05
Es (Illuminance - Scotopic) / lx	1.576E+05
Es/Ev (S/P Ratio)	1.5694
Ee (Irradiance) / W/m²	324.6
PAR / μmol/(m²s)	1503
Bilirubin IEC 60601-2-50 / mW/cm²	11.2
Bilirubin AAP / μW/(cm²nm)	64.31
Ee,z (Melanopic Irradiance) / W/m²	75.97
Ez (Melanopic Equivalent Illuminance) / z-lx	6.323E+04
Emel, D65 (Melanopic Daylight Equivalent Illuminance) / lx	5.727E+04
x	0.4047
y	0.3834
u'	0.2384
v'	0.5081
Delta uv	0.00318
CCT / K	3449.0
Dominant Wavelength / nm	491.7
Purity	0.2950
Peak Wavelength / nm	599.8
Centre Wavelength / nm	588.5
Centroid Wavelength / nm	575.2
FWHM / nm	165.0
X	155.2
Y	147.1
Z	81.26
Rf (TM-30-15)	86
Rg (TM-30-15)	98
Date	9/16/2025
Time	9:50:02 AM
Serial Number	43919
Software Version	2018.2.1
Dll Version	2018.3
Firmware Version	1.40

CRI	Value
Ra	87.7904869904516
R1	86.8669366655711
R2	93.7175757773802
R3	96.7300803490379
R4	86.3047968347932
R5	87.3547930457214
R6	90.9712104216737
R7	87.719045867094
R8	72.6594569623417
R9	36.8467258221367
R10	85.4853382596376
R11	86.4741556385656
R12	74.5868497361733
R13	88.74826280435
R14	98.8145404196773
R15	82.7006804868519

Wavelength / nm	Spectral Irrradiance / W/(m²nm)
360	0.0132746403322798
361	0.0141284793576887
362	0.0167506544833256
363	0.0190262104730271
364	0.0187171493662399
365	0.0178805505912392
366	0.0148867588070147
367	0.00824786230992683
368	0.00179146794835839
369	0
370	0
371	0.00156377410188943
372	0.00798540409364005
373	0.0146973955862321
374	0.0135136597575689
375	0.0067430895553455
376	0.00147107009319648
377	0.00504594219709984
378	0.0100714865244628
379	0.0130719383470478
380	0.0133008219459052
381	0.0135930064953922
382	0.0149319287448365
383	0.0165948571593933
384	0.0182835395742029
385	0.0200358448671132
386	0.0218060736600404
387	0.0242911205099171
388	0.0271692303859272
389	0.0302342569048944
390	0.0341229950411656
391	0.0381090486573264
392	0.0432888467877089
393	0.0496635555543082
394	0.0557478764140151
395	0.0593848116585926
396	0.0624683069115839
397	0.0636227113403728
398	0.0613304422812678
399	0.0589757031889047
400	0.0567316419044958
401	0.0545305762404767
402	0.0518510187759771
403	0.0477380019960074
404	0.0435457217865467
405	0.0408511574350542
406	0.0391237385164736
407	0.0376440897386584
408	0.0374077942808785
409	0.0373428619566878
410	0.0369444478775394
411	0.0361805184739781
412	0.03544248746634
413	0.0349352870183352
414	0.0344823409053162
415	0.0359558674925513
416	0.040842097809851
417	0.045812026150666
418	0.0511046325039901
419	0.0565158197644961
420	0.0623087461207955
421	0.0691314190308811
422	0.0760968449568616
423	0.0871702744843374
424	0.100505937121902
425	0.114777542172741
426	0.132797694990631
427	0.151217042955625
428	0.17254959445935
429	0.196246330142514
430	0.221093756637231
431	0.252741040647934
432	0.285504428935293
433	0.321154017484079
434	0.360225381388982
435	0.400287663934267
436	0.448990286026859
437	0.499710263482857
438	0.556128857386962
439	0.62179633776746
440	0.688540160429407
441	0.767797995509702
442	0.850943329861318
443	0.936908890691711
444	1.02879576571438
445	1.12085486942863
446	1.21259449977155
447	1.30420870319054
448	1.38640918313652
449	1.44420317552567
450	1.49965307836434
451	1.52113483074536
452	1.52650688319128
453	1.5208344377406
454	1.48132101705523
455	1.43904125572762
456	1.37774749831027
457	1.30604225970675
458	1.23304061771653
459	1.15555480243133
460	1.07786581263397
461	1.01188785416991
462	0.952973093453728
463	0.897488938164817
464	0.854757122370813
465	0.813301857329459
466	0.77784255292526
467	0.746169403326836
468	0.715284794606807
469	0.68738924102492
470	0.659795668315946
471	0.633168589395045
472	0.60714723536878
473	0.582154502058027
474	0.560925341940708
475	0.540134037836443
476	0.524838587894962
477	0.512775294756569
478	0.502835689226972
479	0.499985601260432
480	0.497851487486657
481	0.501696171348249
482	0.508662723830707
483	0.51613432002245
484	0.525059708924357
485	0.534296099826541
486	0.549171019978117
487	0.566516061264728
488	0.583613555689293
489	0.6001303707632
490	0.616638588495385
491	0.633393325816191
492	0.650233471367959
493	0.668631218643632
494	0.689828973573623
495	0.710947550576697
496	0.730723802242448
497	0.750156608530462
498	0.770044114131691
499	0.790512076742309
500	0.811111636627259
501	0.832515344552376
502	0.854050167203439
503	0.872443157378236
504	0.888259522314755
505	0.904031799612391
506	0.919632866611417
507	0.935165628718032
508	0.948762128633322
509	0.961372129819577
510	0.97398394367881
511	0.986600041857333
512	0.998923145126098
513	1.00756144676536
514	1.01508985501709
515	1.02380947665896
516	1.03412057430481
517	1.04381617587357
518	1.04996607348465
519	1.05556396122871
520	1.0619241444979
521	1.0687924865706
522	1.07531113232786
523	1.0808441360692
524	1.08646378191141
525	1.0942109060366
526	1.10265931587711
527	1.11057722540491
528	1.1177860639025
529	1.12453616146406
530	1.12894656832738
531	1.1330587625251
532	1.13879558754647
533	1.14543331804919
534	1.1531414061639
535	1.16315233083092
536	1.1730369036872
537	1.18119882431842
538	1.18896561715399
539	1.1949723617909
540	1.19956914769959
541	1.20544540479318
542	1.21501777103138
543	1.22478438475426
544	1.23409141616022
545	1.24326501441996
546	1.25384703815767
547	1.26581134848515
548	1.27690513988079
549	1.28515495713953
550	1.29350377602623
551	1.30605313869936
552	1.31990380851129
553	1.33172992984507
554	1.34155892430734
555	1.35211047422701
556	1.36489441124456
557	1.37787877978235
558	1.39132837676678
559	1.40490398202273
560	1.41770354766947
